,Глубина манометра,Dшт,Рзаб (ср),Pлин (ср),Руст (кон),Рлин (кон),Туст,Тна шлейфе,Тзаб,Tлин,Дебит ст. конд. (ст),Дебит воды (ст),Дебит смеси (ст),Дебит газа (лин),Дебит кон нестабильный (лин),Дебит воды (лин),Нэф,Рпл. Тек (послед точка на КВД),Рпл. Тек (Расчет по КВД),Рпл. Тек (Карноухов),Pсб,Ro_c,Удельная плотность газа ,G_total,КГФ
149,3440.0,7.94,228.1,92.6323398762964,163.0,94.154,43.0,26.6,102.068,26.23892374702136,33.84913838664805,0.23765479833101524,153.39280235347704,1172.0,59.8,0.2,44.2,29.17,56.1,,90.7,770.1,0.57,,180.0
150,3277.8,6.35,382.5,101.9,288.77625,104.1,26.5,,106.2,25.9,48.3,0.8,178.86037999999996,1891.0,116.8,0.8,44.5,40.35,53.9,52.7,101.5,781.0,0.672,,224.0
152,3277.8,11.11,365.7,103.6,271.551,102.9,45.3,,106.47,46.1,117.3,0.6,485.34457999999995,2740.0,152.8,3.3,44.5,40.35,53.9,52.7,103.2,790.0,0.672,,201.0
153,3277.8,12.7,354.5,104.1,254.32575,103.8,50.3,,106.4,50.5,138.4,1.6,598.49244,3730.0,196.5,0.6,44.5,40.35,53.9,52.7,102.7,787.0,0.672,,191.0
154,3277.8,14.3,345.9,105.8,239.127,104.0,53.5,,106.7,54.0,158.0,1.8,681.6896,4726.0,232.4,1.7,44.5,40.35,53.9,52.7,103.1,787.0,0.672,,192.0
155,3276.0,7.5,370.0389,95.0,268.0,95.4,56.0,28.6,104.98,30.4,69.9,1.2,261.47294,1967.0,114.7,1.1,44.5,39.44,48.3,45.6,94.3,785.0,0.667,,222.0
156,3276.0,9.53,364.6788075,94.9,262.0,94.9,62.0,36.3,105.18,37.5,94.4,1.4,370.15784,2970.0,154.5,1.4,44.5,39.44,48.3,45.6,93.5,785.0,0.667,,212.0
157,3276.0,11.11,357.1199625,97.0,252.0,96.9,66.0,42.8,105.24,43.7,117.6,1.4,477.11715999999996,3869.0,196.7,1.4,44.5,39.44,48.3,45.6,95.3,785.0,0.667,,204.0
158,3276.0,12.7,347.44342499999993,95.7,238.0,95.8,70.0,47.5,105.23,47.9,142.0,2.1,592.3933,5012.0,235.7,2.0,44.5,39.44,48.3,45.6,94.2,785.0,0.667,,198.0
159,3276.0,14.3,337.87834499999997,99.8,220.0,99.3,70.0,51.8,105.16,52.1,154.7,2.3,686.14552,5733.0,264.3,2.4,44.5,39.44,48.3,45.6,98.5,785.0,0.667,,186.0
160,3284.0,7.94,335.20000000000005,88.7,241.0,89.0,51.0,27.0,104.68,27.2,55.4,1.1,226.53898,1773.0,93.1,1.1,44.5,35.28,40.5,41.6,89.7,782.0,0.66,,201.0
161,3284.0,9.53,328.1,91.2,240.0,91.4,59.1,34.9,104.84,35.7,72.7,1.9,325.42891000000003,2750.0,119.2,2.0,44.5,35.28,40.5,41.6,88.9,782.0,0.66,,182.0
162,3284.0,11.11,318.0,98.0,228.0,98.9,63.3,41.4,104.85,42.5,86.3,3.5,424.73861,3583.0,143.9,3.5,44.5,35.28,40.5,41.6,91.0,782.0,0.66,,165.0
163,3284.0,12.7,307.8,98.6,215.0,97.2,65.0,45.8,104.78,46.3,93.5,4.7,495.62985000000003,4165.0,156.8,4.8,44.5,35.28,40.5,41.6,94.4,782.0,0.66,,153.0
164,3284.0,14.29,293.6,98.5,197.0,98.4,66.9,49.8,104.63,50.5,106.6,6.4,587.3609399999999,5113.0,174.3,6.5,44.5,35.28,40.5,41.6,94.0,782.0,0.66,,147.0
165,3288.6,7.94,309.1,92.6,230.0,92.7,51.0,,104.4,28.1,50.5,0.44891701610110907,224.8580989170161,1759.0,84.7,0.4,48.3747,33.21,49.8,,89.9,779.6,0.668,,182.0
166,3288.6,11.11,293.9,93.1,215.0,93.3,60.0,,104.6,41.3,72.0,1.5,403.74690000000004,3454.0,123.0,1.6,48.3747,33.21,49.8,,90.8,779.6,0.668,,145.0
167,3289.8,9.53,271.0,95.94595105865976,199.0,94.637,56.0,,103.9,36.16154737938216,47.6,1.0,274.9396,2223.0,80.0,1.1,48.4,39.44,39.9,,94.0,772.6,0.671,,139.0
